01/07/2026 12:36:35 [err] Exception in thread "Thread-5" org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'barOdemeSorguGonderilenlerModel' defined in URL [jar:file:/C:/avicennanew/jars/client/GSS_DSL.jar!/META-INF/module-context.xml]: Cannot resolve reference to bean 'osOdemesorgugirisdvoDAO' while setting bean property 'odemesorgugirisdvoDAO'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'osOdemesorgugirisdvoDAO' is defined
01/07/2026 12:36:35 [err] 	at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveReference(BeanDefinitionValueResolver.java:328)
01/07/2026 12:37:32 [err] java.lang.NullPointerException
01/07/2026 12:37:32 [err] 	at com.datasel.avicenna.qmatic.ACQmaticManager.dispose(ACQmaticManager.java:71)
01/07/2026 12:37:32 [err] 	at com.datasel.avicenna.qmatic.ACQmaticManager.finalize(ACQmaticManager.java:58)
01/07/2026 12:37:32 [err] 	at java.lang.System$2.invokeFinalize(System.java:1270)
01/07/2026 12:37:32 [err] 	at java.lang.ref.Finalizer.runFinalizer(Finalizer.java:102)
01/07/2026 12:37:32 [err] 	at java.lang.ref.Finalizer.access$100(Finalizer.java:34)
01/07/2026 12:37:32 [err] 	at java.lang.ref.Finalizer$FinalizerThread.run(Finalizer.java:217)
01/07/2026 13:13:45 [err] LcdDisplay is not available. Connection refused: connect
01/07/2026 13:13:46 [err] Exception in thread "AWT-EventQueue-0" java.lang.ArrayIndexOutOfBoundsException: 1
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI.calculateTabWidth(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI$TabbedPaneScrollLayout.calculateTabRects(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI$TabbedPaneLayout.calculateLayoutInfo(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI.ensureCurrentLayout(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI$ScrollableTabSupport.stateChanged(Unknown Source)
01/07/2026 13:13:46 [err] 	at javax.swing.JViewport.fireStateChanged(JViewport.java:1369)
01/07/2026 13:13:46 [err] 	at javax.swing.JViewport.reshape(JViewport.java:839)
01/07/2026 13:13:46 [err] 	at java.awt.Component.setBounds(Component.java:2261)
01/07/2026 13:13:46 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI$TabbedPaneScrollLayout.layoutContainer(Unknown Source)
01/07/2026 13:13:46 [err] 	at java.awt.Container.layout(Container.java:1513)
01/07/2026 13:13:46 [err] 	at java.awt.Container.doLayout(Container.java:1502)
01/07/2026 13:13:46 [err] 	at java.awt.Container.validateTree(Container.java:1698)
01/07/2026 13:13:46 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:13:46 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:13:46 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:13:46 [err] 	at java.awt.Container.validate(Container.java:1633)
01/07/2026 13:13:46 [err] 	at javax.swing.RepaintManager$3.run(RepaintManager.java:711)
01/07/2026 13:13:46 [err] 	at javax.swing.RepaintManager$3.run(RepaintManager.java:709)
01/07/2026 13:13:46 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:13:46 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:13:46 [err] 	at javax.swing.RepaintManager.validateInvalidComponents(RepaintManager.java:708)
01/07/2026 13:13:46 [err] 	at javax.swing.RepaintManager$ProcessingRunnable.run(RepaintManager.java:1731)
01/07/2026 13:13:46 [err] 	at java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:311)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:758)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.access$500(EventQueue.java:97)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:709)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:703)
01/07/2026 13:13:46 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:13:46 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.dispatchEvent(EventQueue.java:728)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:205)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:116)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:109)
01/07/2026 13:13:46 [err] 	at java.awt.WaitDispatchSupport$2.run(WaitDispatchSupport.java:190)
01/07/2026 13:13:46 [err] 	at java.awt.WaitDispatchSupport$4.run(WaitDispatchSupport.java:235)
01/07/2026 13:13:46 [err] 	at java.awt.WaitDispatchSupport$4.run(WaitDispatchSupport.java:233)
01/07/2026 13:13:46 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:13:46 [err] 	at java.awt.WaitDispatchSupport.enter(WaitDispatchSupport.java:233)
01/07/2026 13:13:46 [err] 	at java.awt.Dialog.show(Dialog.java:1084)
01/07/2026 13:13:46 [err] 	at java.awt.Component.show(Component.java:1671)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.client.ACDialog.show(ACDialog.java:215)
01/07/2026 13:13:46 [err] 	at java.awt.Component.setVisible(Component.java:1623)
01/07/2026 13:13:46 [err] 	at java.awt.Window.setVisible(Window.java:1014)
01/07/2026 13:13:46 [err] 	at java.awt.Dialog.setVisible(Dialog.java:1005)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.client.ACDialog.showDialog(ACDialog.java:233)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.client.ACProgressDialog.runProgressMain(ACProgressDialog.java:154)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.client.ACProgressDialog.runProgress(ACProgressDialog.java:71)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.core.gui.client.Menu.openCenterPanel(Menu.java:685)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.core.gui.client.Menu.access$400(Menu.java:100)
01/07/2026 13:13:46 [err] 	at com.datasel.avicenna.core.gui.client.Menu$10.valueChanged(Menu.java:582)
01/07/2026 13:13:46 [err] 	at javax.swing.JTree.fireValueChanged(JTree.java:2934)
01/07/2026 13:13:46 [err] 	at javax.swing.JTree$TreeSelectionRedirector.valueChanged(JTree.java:3398)
01/07/2026 13:13:46 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.fireValueChanged(DefaultTreeSelectionModel.java:635)
01/07/2026 13:13:46 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.notifyPathChange(DefaultTreeSelectionModel.java:1093)
01/07/2026 13:13:46 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.setSelectionPaths(DefaultTreeSelectionModel.java:294)
01/07/2026 13:13:46 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.setSelectionPath(DefaultTreeSelectionModel.java:188)
01/07/2026 13:13:46 [err] 	at javax.swing.JTree.setSelectionPath(JTree.java:1641)
01/07/2026 13:13:46 [err] 	at javax.swing.plaf.basic.BasicTreeUI.selectPathForEvent(BasicTreeUI.java:2393)
01/07/2026 13:13:46 [err] 	at javax.swing.plaf.basic.BasicTreeUI$Handler.handleSelection(BasicTreeUI.java:3609)
01/07/2026 13:13:46 [err] 	at javax.swing.plaf.basic.BasicTreeUI$Handler.mousePressed(BasicTreeUI.java:3548)
01/07/2026 13:13:46 [err] 	at java.awt.Component.processMouseEvent(Component.java:6536)
01/07/2026 13:13:46 [err] 	at javax.swing.JComponent.processMouseEvent(JComponent.java:3324)
01/07/2026 13:13:46 [err] 	at java.awt.Component.processEvent(Component.java:6304)
01/07/2026 13:13:46 [err] 	at java.awt.Container.processEvent(Container.java:2239)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4889)
01/07/2026 13:13:46 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:13:46 [err] 	at com.jidesoft.docking.b.a(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.docking.DefaultDockingManager.handleEvent(Unknown Source)
01/07/2026 13:13:46 [err] 	at com.jidesoft.docking.DefaultDockingManager$53.eventDispatched(Unknown Source)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$SelectiveAWTEventListener.eventDispatched(Toolkit.java:2427)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2319)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:13:46 [err] 	at java.awt.Toolkit.notifyAWTEventListeners(Toolkit.java:2277)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4785)
01/07/2026 13:13:46 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:13:46 [err] 	at java.awt.KeyboardFocusManager.redispatchEvent(KeyboardFocusManager.java:1954)
01/07/2026 13:13:46 [err] 	at java.awt.DefaultKeyboardFocusManager.typeAheadAssertions(DefaultKeyboardFocusManager.java:1015)
01/07/2026 13:13:46 [err] 	at java.awt.DefaultKeyboardFocusManager.dispatchEvent(DefaultKeyboardFocusManager.java:639)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4760)
01/07/2026 13:13:46 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:13:46 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:760)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.access$500(EventQueue.java:97)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:709)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:703)
01/07/2026 13:13:46 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:13:46 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:13:46 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:84)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$4.run(EventQueue.java:733)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue$4.run(EventQueue.java:731)
01/07/2026 13:13:46 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:13:46 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:13:46 [err] 	at java.awt.EventQueue.dispatchEvent(EventQueue.java:730)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:205)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:116)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:105)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:101)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:93)
01/07/2026 13:13:46 [err] 	at java.awt.EventDispatchThread.run(EventDispatchThread.java:82)
01/07/2026 13:31:43 [err] LcdDisplay is not available. Connection refused: connect
01/07/2026 13:31:43 [err] Exception in thread "AWT-EventQueue-0" java.lang.NullPointerException
01/07/2026 13:31:43 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI.updateCloseButtons(Unknown Source)
01/07/2026 13:31:43 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI.access$1900(Unknown Source)
01/07/2026 13:31:43 [err] 	at com.jidesoft.plaf.basic.BasicJideTabbedPaneUI$TabbedPaneScrollLayout.layoutContainer(Unknown Source)
01/07/2026 13:31:43 [err] 	at java.awt.Container.layout(Container.java:1513)
01/07/2026 13:31:43 [err] 	at java.awt.Container.doLayout(Container.java:1502)
01/07/2026 13:31:43 [err] 	at java.awt.Container.validateTree(Container.java:1698)
01/07/2026 13:31:43 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:31:43 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:31:43 [err] 	at java.awt.Container.validateTree(Container.java:1707)
01/07/2026 13:31:43 [err] 	at java.awt.Container.validate(Container.java:1633)
01/07/2026 13:31:43 [err] 	at javax.swing.RepaintManager$3.run(RepaintManager.java:711)
01/07/2026 13:31:43 [err] 	at javax.swing.RepaintManager$3.run(RepaintManager.java:709)
01/07/2026 13:31:43 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:31:43 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:31:43 [err] 	at javax.swing.RepaintManager.validateInvalidComponents(RepaintManager.java:708)
01/07/2026 13:31:43 [err] 	at javax.swing.RepaintManager$ProcessingRunnable.run(RepaintManager.java:1731)
01/07/2026 13:31:43 [err] 	at java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:311)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:758)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue.access$500(EventQueue.java:97)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:709)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:703)
01/07/2026 13:31:43 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:31:43 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue.dispatchEvent(EventQueue.java:728)
01/07/2026 13:31:43 [err] 	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:205)
01/07/2026 13:31:43 [err] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:116)
01/07/2026 13:31:43 [err] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:109)
01/07/2026 13:31:43 [err] 	at java.awt.WaitDispatchSupport$2.run(WaitDispatchSupport.java:190)
01/07/2026 13:31:43 [err] 	at java.awt.WaitDispatchSupport$4.run(WaitDispatchSupport.java:235)
01/07/2026 13:31:43 [err] 	at java.awt.WaitDispatchSupport$4.run(WaitDispatchSupport.java:233)
01/07/2026 13:31:43 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:31:43 [err] 	at java.awt.WaitDispatchSupport.enter(WaitDispatchSupport.java:233)
01/07/2026 13:31:43 [err] 	at java.awt.Dialog.show(Dialog.java:1084)
01/07/2026 13:31:43 [err] 	at java.awt.Component.show(Component.java:1671)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.client.ACDialog.show(ACDialog.java:215)
01/07/2026 13:31:43 [err] 	at java.awt.Component.setVisible(Component.java:1623)
01/07/2026 13:31:43 [err] 	at java.awt.Window.setVisible(Window.java:1014)
01/07/2026 13:31:43 [err] 	at java.awt.Dialog.setVisible(Dialog.java:1005)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.client.ACDialog.showDialog(ACDialog.java:233)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.client.ACProgressDialog.runProgressMain(ACProgressDialog.java:154)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.client.ACProgressDialog.runProgress(ACProgressDialog.java:71)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.core.gui.client.Menu.openCenterPanel(Menu.java:685)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.core.gui.client.Menu.access$400(Menu.java:100)
01/07/2026 13:31:43 [err] 	at com.datasel.avicenna.core.gui.client.Menu$10.valueChanged(Menu.java:582)
01/07/2026 13:31:43 [err] 	at javax.swing.JTree.fireValueChanged(JTree.java:2934)
01/07/2026 13:31:43 [err] 	at javax.swing.JTree$TreeSelectionRedirector.valueChanged(JTree.java:3398)
01/07/2026 13:31:43 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.fireValueChanged(DefaultTreeSelectionModel.java:635)
01/07/2026 13:31:43 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.notifyPathChange(DefaultTreeSelectionModel.java:1093)
01/07/2026 13:31:43 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.setSelectionPaths(DefaultTreeSelectionModel.java:294)
01/07/2026 13:31:43 [err] 	at javax.swing.tree.DefaultTreeSelectionModel.setSelectionPath(DefaultTreeSelectionModel.java:188)
01/07/2026 13:31:43 [err] 	at javax.swing.JTree.setSelectionPath(JTree.java:1641)
01/07/2026 13:31:43 [err] 	at javax.swing.plaf.basic.BasicTreeUI.selectPathForEvent(BasicTreeUI.java:2393)
01/07/2026 13:31:43 [err] 	at javax.swing.plaf.basic.BasicTreeUI$Handler.handleSelection(BasicTreeUI.java:3609)
01/07/2026 13:31:43 [err] 	at javax.swing.plaf.basic.BasicTreeUI$Handler.mousePressed(BasicTreeUI.java:3548)
01/07/2026 13:31:43 [err] 	at java.awt.Component.processMouseEvent(Component.java:6536)
01/07/2026 13:31:43 [err] 	at javax.swing.JComponent.processMouseEvent(JComponent.java:3324)
01/07/2026 13:31:43 [err] 	at java.awt.Component.processEvent(Component.java:6304)
01/07/2026 13:31:43 [err] 	at java.awt.Container.processEvent(Container.java:2239)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4889)
01/07/2026 13:31:43 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:31:43 [err] 	at com.jidesoft.docking.b.a(Unknown Source)
01/07/2026 13:31:43 [err] 	at com.jidesoft.docking.DefaultDockingManager.handleEvent(Unknown Source)
01/07/2026 13:31:43 [err] 	at com.jidesoft.docking.DefaultDockingManager$53.eventDispatched(Unknown Source)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$SelectiveAWTEventListener.eventDispatched(Toolkit.java:2427)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2319)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit$ToolkitEventMulticaster.eventDispatched(Toolkit.java:2318)
01/07/2026 13:31:43 [err] 	at java.awt.Toolkit.notifyAWTEventListeners(Toolkit.java:2277)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4785)
01/07/2026 13:31:43 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:31:43 [err] 	at java.awt.KeyboardFocusManager.redispatchEvent(KeyboardFocusManager.java:1954)
01/07/2026 13:31:43 [err] 	at java.awt.DefaultKeyboardFocusManager.typeAheadAssertions(DefaultKeyboardFocusManager.java:1015)
01/07/2026 13:31:43 [err] 	at java.awt.DefaultKeyboardFocusManager.dispatchEvent(DefaultKeyboardFocusManager.java:639)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEventImpl(Component.java:4760)
01/07/2026 13:31:43 [err] 	at java.awt.Container.dispatchEventImpl(Container.java:2297)
01/07/2026 13:31:43 [err] 	at java.awt.Component.dispatchEvent(Component.java:4711)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:760)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue.access$500(EventQueue.java:97)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:709)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue$3.run(EventQueue.java:703)
01/07/2026 13:31:43 [err] 	at java.security.AccessController.doPrivileged(Native Method)
01/07/2026 13:31:43 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:74)
01/07/2026 13:31:43 [err] 	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:84)
01/07/2026 13:31:43 [err] 	at java.awt.EventQueue$4.run(EventQueue.java:733)
